State Name,Survey Year,Program Name,Definition Of Need,Test Score Merit Component,Performance Merit Component,Class Rank Merit Component,Grades Merit Component,Minimum Grade For Merit Component,Dollars Awarded To Under 2 Year In State Public Institutions,Recipients In Under 2 Year In State Public Institutions,Dollars Awarded To 2 Year In State Public Institutions,Recipients In 2 Year In State Public Institutions,Dollars Awarded To 4 Year In State Public Institutions,Recipients In 4 Year In State Public Institutions,Dollars Awarded To Out Of State Public Institutions,Recipients In Out Of State Public Institutions,Dollars Awarded To Under 2 Year In State Private Institutions,Recipients In Under 2 Year In State Private Institutions,Dollars Awarded To 2 Year In State Private Institutions,Recipients In 2 Year In State Private Institutions,Dollars Awarded To 4 Year In State Private Institutions,Recipients In 4 Year In State Private Institutions,Dollars Awarded To Out Of State Private Institutions,Recipients In Out Of State Private Institutions,Dollars Awarded To Under 2 Year In State Proprietary Institutions,Recipients In Under 2 Year In State Proprietary Institutions,Dollars Awarded To 2 Year In State Proprietary Institutions,Recipients In 2 Year In State Proprietary Institutions,Dollars Awarded To 4 Year In State Proprietary Institutions,Recipients In 4 Year In State Proprietary Institutions,Dollars Awarded To Out Of State Proprietary Institutions,Recipients In Out Of State Proprietary Institutions,Total Dollars Awarded,Total Number Of Recipients
Alabama,2017,Alabama Optometry Scholarships,N/A,        ,        ,        , CHECKED,3.75,,,,,135000,27,,,,,,,,,,,,,,,,,,,135000,27
Alabama,2018,Alabama Optometry Scholarships,N/A,        ,        ,        , CHECKED,3.75,,,,,135000,27,,,,,,,,,,,,,,,,,,,135000,27
Alabama,2003,Alabama Student Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,470394,1171,810645,2626,,,,,102563,227,168309,280,,,,,94208,282,,,,,4586,1646119
Alabama,2004,Alabama Student Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,351750,1036,465511,1122,,,,,66500,147,109200,197,,,,,79600,195,,,,,,
Alabama,2005,Alabama Student Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,240500,585,330000,592,,,,,49000,109,78000,137,,,,,25000,72,,,,,722500,1495
Alabama,2006,Alabama Student Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,784500,1627,862441,1635,,,,,99209,60,265000,286,,,,,,,66000,134,,,2077150,3742
Alabama,2007,Alabama Student Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,756200,1506,1001000,1547,,,,,,,278000,348,,,,,,,84000,173,,,2119200,3574
Alabama,2008,Alabama Student Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,3611622,5058,6479707,7023,,,,,,,1917197,1070,,,,,,,379352,549,,,12387878,13700
Alabama,2009,Alabama Student Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,2062341,4188,4411578,6106,,,,,,,1261482,987,,,,,,,161019,239,,,7896420,11520
Alabama,2010,Alabama Student Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,1502128,3015,2526716,3320,,,,,,,956704,780,,,,,,,218581,342,,,5204129,7457
Alabama,2011,Alabama Student Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,1819533,3553,2756990,3463,,,,,,,942117,682,,,,,,,98568,215,,,5617208,7913
Alabama,2012,Alabama Student Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,2196945,4046,2538477,3312,,,,,,,830531,798,,,,,,,44465,105,,,5610418,8261
Alabama,2013,Alabama Student Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,1188564,2371,1342425,1699,,,,,,,416480,409,,,,,,,25099,65,,,2972568,4544
Alabama,2014,Alabama Student Assistance Program,Expected Family Contribution,        ,        ,        , CHECKED,2,,,979017,1883,1164204,1519,,,,,,,454377,498,,,,,,,13471,30,,,2611069,3930
Alabama,2015,Alabama Student Assistance Program,Expected Family Contribution,        ,        ,        , CHECKED,2,,,860196,1759,1328789,1829,,,,,,,417093,468,,,,,,,13902,56,,,2619980,4112
Alabama,2016,Alabama Student Assistance Program,Expected Family Contribution,        ,        ,        , CHECKED,2,,,823732,1663,1351034,1803,,,,,,,413677,488,,,,,,,8679,26,,,2597122,3980
Alabama,2017,Alabama Student Assistance Program,Expected Family Contribution,        ,        ,        , CHECKED,2,,,952274,1873,1371371,1707,,,,,,,473335,547,,,,,,,10638,30,,,2807618,4157
Alabama,2018,Alabama Student Assistance Program,Expected Family Contribution,        ,        ,        , CHECKED,2,,,880017,1795,1412858,1753,,,,,,,501232,639,,,,,,,11526,29,,,2805633,4216
Alabama,2009,Alabama Teacher Recruitment Incentive Scholarship,Need (cost-EFC),        ,        ,        , CHECKED,2.5,,,,,452000,109,,,,,,,35000,14,,,,,,,,,,,487000,123
Alabama,2010,Alabama Teacher Recruitment Incentive Scholarship,Need (cost-EFC),        ,        ,        , CHECKED,2.5,,,,,299500,71,,,,,,,40000,8,,,,,,,,,,,339500,79
Alabama,2011,Alabama Teacher Recruitment Incentive Scholarship,Need (cost-EFC),        ,        ,        , CHECKED,2.5,,,,,243272,51,,,,,,,20000,4,,,,,,,,,,,263272,55
Alabama,2012,Alabama Teacher Recruitment Incentive Scholarship,Need (cost-EFC),        ,        ,        , CHECKED,2.5,,,,,215000,44,,,,,,,20000,4,,,,,,,,,,,235000,48
Alabama,2003,American Legion Scholarships,N/A,        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2004,American Legion Scholarships,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2005,American Legion Scholarships,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2006,American Legion Scholarships,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2007,American Legion Scholarships,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2008,American Legion Scholarships,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2009,American Legion Scholarships,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2010,American Legion Scholarships,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2011,American Legion Scholarships,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2012,American Legion Scholarships,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2013,American Legion Scholarships,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2014,American Legion Scholarships,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2015,American Legion Scholarships,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2016,American Legion Scholarships,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2017,American Legion Scholarships,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2018,American Legion Scholarships,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2003,Chiropractic Scholarships,Maximum income/income based,        ,        , CHECKED, CHECKED,2,,,,,,,30655,8,,,,,,,,,,,,,,,,,8,30655
Alabama,2004,Chiropractic Scholarships,Maximum income/income based,        ,        ,        , CHECKED,0,,,,,,,15394,5,,,,,,,,,,,,,,,,,,
Alabama,2005,Chiropractic Scholarships,N/A,        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2006,Chiropractic Scholarships,N/A,        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2007,Chiropractic Scholarships,Need (cost-EFC),        ,        ,        , CHECKED,3,,,,,,,,,,,,,,,32000,5,,,,,,,,,32000,5
Alabama,2008,Chiropractic Scholarships,Need (cost-EFC),        ,        ,        , CHECKED,3,,,,,,,,,,,,,,,30000,5,,,,,,,,,30000,5
Alabama,2009,Chiropractic Scholarships,Need (cost-EFC),        ,        ,        , CHECKED,3,,,,,,,,,,,,,,,29700,10,,,,,,,,,29700,10
Alabama,2010,Chiropractic Scholarships,Need (cost-EFC),        ,        ,        , CHECKED,3,,,,,,,,,,,,,,,,,,,,,,,28620,11,28620,11
Alabama,2011,Chiropractic Scholarships,Need (cost-EFC),        ,        ,        , CHECKED,3,,,,,,,,,,,,,,,,,,,,,,,26579,8,26579,8
Alabama,2012,Chiropractic Scholarships,Need (cost-EFC),        ,        ,        , CHECKED,3,,,,,,,,,,,,,,,,,,,,,,,16050,6,16050,6
Alabama,2003,Dental Scholarships,N/A,        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2004,Dental Scholarships,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2005,Dental Scholarships,N/A,        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2003,Dependents Blind Parents Scholarship,N/A,        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2004,Dependents Blind Parents Scholarship,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2005,Dependents Blind Parents Scholarship,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2006,Dependents Blind Parents Scholarship,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2007,Dependents Blind Parents Scholarship,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2008,Dependents Blind Parents Scholarship,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2009,Dependents Blind Parents Scholarship,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2010,Dependents Blind Parents Scholarship,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2011,Dependents Blind Parents Scholarship,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2012,Dependents Blind Parents Scholarship,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2013,Dependents Blind Parents Scholarship,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2014,Dependents Blind Parents Scholarship,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2015,Dependents Blind Parents Scholarship,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2016,Dependents Blind Parents Scholarship,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2017,Dependents Blind Parents Scholarship,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2018,Dependents Blind Parents Scholarship,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2003,Medical Scholarships,N/A,        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2004,Medical Scholarships,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2005,Medical Scholarships,N/A,        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2006,Medical Scholarships,N/A,        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2007,Medical Scholarships,N/A,        ,        ,        , CHECKED,3.75,,,,,1300000,260,,,,,,,,,,,,,,,,,,,1300000,260
Alabama,2008,Medical Scholarships,N/A,        ,        ,        , CHECKED,3.75,,,,,1600000,320,,,,,,,,,,,,,,,,,,,1600000,320
Alabama,2009,Medical Scholarships,N/A,        ,        ,        , CHECKED,3.75,,,,,1155000,231,,,,,,,,,,,,,,,,,,,1155000,231
Alabama,2010,Medical Scholarships,N/A,        ,        ,        , CHECKED,3.75,,,,,1149109,229,,,,,,,,,,,,,,,,,,,1149109,229
Alabama,2011,Medical Scholarships,N/A,        ,        ,        , CHECKED,3.75,,,,,1062926,212,,,,,,,,,,,,,,,,,,,1062926,212
Alabama,2012,Medical Scholarships,N/A,        ,        ,        , CHECKED,3.75,,,,,770848,154,,,,,,,,,,,,,,,,,,,770848,154
Alabama,2013,Medical Scholarships,N/A,        ,        ,        , CHECKED,3.75,,,,,740014,148,,,,,,,,,,,,,,,,,,,740014,148
Alabama,2014,Medical Scholarships,N/A,        ,        ,        , CHECKED,3.75,,,,,740014,148,,,,,,,,,,,,,,,,,,,740014,148
Alabama,2015,Medical Scholarships,N/A,        ,        ,        , CHECKED,3.75,,,,,740014,148,,,,,,,,,,,,,,,,,,,740014,148
Alabama,2016,Medical Scholarships,N/A,        ,        ,        , CHECKED,3.75,,,,,740014,148,,,,,,,,,,,,,,,,,,,740014,148
Alabama,2017,Medical Scholarships,N/A,        ,        ,        , CHECKED,3.75,,,,,1600000,10,,,,,,,,,,,,,,,,,,,1600000,10
Alabama,2018,Medical Scholarships,N/A,        ,        ,        , CHECKED,3.75,,,,,1280000,8,,,,,,,,,,,,,,,,,,,1280000,8
Alabama,2003,Optometric Scholarships,N/A,        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2004,Optometric Scholarships,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2005,Optometric Scholarships,N/A,        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2006,Police Officer's & Firefighter's Survivors,N/A,        ,        ,        , CHECKED,2,,,10971,3,92932,20,,,,,,,,,,,,,,,,,,,103903,23
Alabama,2007,Police Officer's & Firefighter's Survivors,N/A,        ,        ,        , CHECKED,2,,,18355,7,102212,17,,,,,,,,,,,,,,,,,,,120567,24
Alabama,2008,Police Officer's & Firefighters Survivors,N/A,        ,        ,        , CHECKED,2,,,11304,3,80923,14,,,,,,,,,,,,,,,,,,,92227,17
Alabama,2009,Police Officer's & Firefighters Survivors,N/A,        ,        ,        , CHECKED,2,,,9178,3,61763,14,,,,,,,,,,,,,,,,,,,70941,17
Alabama,2010,Police Officer's & Firefighters Survivors,N/A,        ,        ,        , CHECKED,2,,,18676,6,86845,13,,,,,,,,,,,,,,,,,,,105521,19
Alabama,2011,Police Officer's & Firefighters Survivors,N/A,        ,        ,        , CHECKED,2,,,20672,7,94059,11,,,,,,,,,,,,,,,,,,,114731,18
Alabama,2012,Police Officer's & Firefighters Survivors,N/A,        ,        ,        , CHECKED,2,,,19707,5,87843,9,,,,,,,,,,,,,,,,,,,107550,14
Alabama,2013,Police Officer's & Firefighters Survivors,N/A,        ,        ,        , CHECKED,2,,,26200,9,131744,14,,,,,,,,,,,,,,,,,,,157944,23
Alabama,2014,Police Officer's & Firefighters Survivors,N/A,        ,        ,        , CHECKED,2,,,28984,9,115998,11,,,,,,,,,,,,,,,,,,,144982,20
Alabama,2015,Police Officer's & Firefighters Survivors,N/A,        ,        ,        , CHECKED,2,,,29830,8,169946,17,,,,,,,,,,,,,,,,,,,199776,25
Alabama,2016,Police Officer's & Firefighters Survivors,N/A,        ,        ,        , CHECKED,2,,,23045,6,161946,16,,,,,,,,,,,,,,,,,,,184991,22
Alabama,2017,Police Officer's & Firefighters Survivors,N/A,        ,        ,        , CHECKED,2,,,41847,10,174732,15,,,,,,,,,,,,,,,,,,,216579,25
Alabama,2018,Police Officer's & Firefighters Survivors,N/A,        ,        ,        , CHECKED,2,,,16355,7,212687,17,,,,,,,,,,,,,,,,,,,229042,24
Alabama,2004,Police Officer's and Firefighter's Survivors,N/A,        ,        ,        ,        ,0,,,10382,5,83295,16,,,,,,,,,,,,,,,,,,,,
Alabama,2005,Police Officer's and Firefighter's Survivors,N/A,        ,        ,        , CHECKED,2,,,10794,6,105833,18,,,,,,,,,,,,,,,,,,,116627,24
Alabama,2003,Police Officers' & Firefighters' Survivors,N/A,        ,        ,        ,        ,0,,,25000,4,67288,14,,,,,,,,,,,,,,,,,,,18,92288
Alabama,2003,Technology Scholarship for AL Teachers,N/A,        ,        ,        ,        ,0,,,,,338677,441,,,,,,,112892,147,,,,,,,,,,,588,451569
Alabama,2004,Technology Scholarship for Alabama Teachers,N/A,        ,        ,        , CHECKED,0,,,,,339666,403,,,,,,,133295,73,,,,,,,,,,,,
Alabama,2005,Technology Scholarships for Alabama Teachers,N/A,        ,        ,        , CHECKED,3,,,,,247225,288,,,,,,,72600,31,,,,,,,,,,,319825,319
Alabama,2006,Technology Scholarships for Alabama Teachers,N/A,        ,        ,        , CHECKED,3,,,,,204727,209,,,,,,,54050,26,,,,,,,,,,,258777,235
Alabama,2007,Technology Scholarships for Alabama Teachers,N/A,        ,        ,        , CHECKED,3,,,,,167932,161,,,,,,,8931,9,,,,,,,,,,,176863,170
Alabama,2008,Technology Scholarships for Alabama Teachers,N/A,        ,        ,        , CHECKED,3,,,,,129877,111,,,,,,,55740,53,,,,,,,,,,,185617,164
Alabama,2009,Technology Scholarships for Alabama Teachers,N/A,        ,        ,        , CHECKED,3,,,,,42822,34,,,,,,,25834,23,,,,,,,,,,,68656,57
Alabama,2003,Vocational Rehabilitation,N/A,        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2004,Vocational Rehabilitation,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2005,Vocational Rehabilitation,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2006,Vocational Rehabilitation,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2007,Vocational Rehabilitation,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2008,Vocational Rehabilitation,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2009,Vocational Rehabilitation,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2010,Vocational Rehabilitation,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2011,Vocational Rehabilitation,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2012,Vocational Rehabilitation,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2013,Vocational Rehabilitation,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2014,Vocational Rehabilitation,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2015,Vocational Rehabilitation,Need (cost-EFC),        ,        ,        ,        ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2015,Washington Center Internship Program,N/A,        ,        ,        , CHECKED,0,,,,,13800,3,,,,,,,,,,,,,,,,,,,13800,3
Alaska,2003,  #  ,Need (cost-EFC),        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alaska,2004,#,N/A,        ,        ,        ,        ,0,,,,,,,,,,,,,,,,,,,,,,,,,,
